id	text	label
train-8873	a fiercely clever and subtle film , capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries . 	1
train-9014	the film runs on a little longer than it needs to -- muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- but it 's smooth and professional 	1
train-9047	recommend secretary 	1
train-9310	gimmicky 	1
train-9389	too deep 	0
train-9651	where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks 	0
train-9942	sin 	0
train-9992	why this project was undertaken 	0
train-10185	not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . ' 	0
train-10383	memorable performances 	1
train-10515	i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , 	0
train-10930	it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , 	1
train-10943	a coherent rhythm 	1
train-11111	great to look at 	1
train-11141	does give a pretty good overall picture of the situation in laramie following the murder of matthew shepard . 	1
train-11204	by a master 	1
train-11448	is definitely worth 	1
train-12012	about its ideas and 	0
train-12271	are strong , though the subject matter demands acting that borders on hammy at times 	1
train-12352	do n't know whether to admire the film 's stately nature and call it classicism or be exasperated by a noticeable lack of pace 	0
train-12637	prolific director 	1
train-12670	explosive physical energy and 	1
train-12749	windtalkers seems to have ransacked every old world war ii movie for overly familiar material . 	0
train-12802	to be in a contest to see who can out-bad-act the other 	0
train-12894	like a true star 	1
train-12920	maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips 	1
train-12964	a-list players 	1
train-13295	earnest 	1
train-13313	surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue 	0
train-13463	a movie that will thrill you , touch you and make you 	1
train-14088	there has been a string of ensemble cast romances recently ... but peter mattei 's love in the time of money sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note . 	1
train-14283	mira sorvino 's limitations 	0
train-14306	is meaningless , vapid and devoid 	0
train-14483	, it 's still unusually crafty and intelligent for hollywood horror . 	1
train-14522	nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin . 	1
train-14566	it 's sort of a 21st century morality play with a latino hip hop beat . 	1
train-14926	outside the under-10 set 	0
train-15011	the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack overwhelm what is left of the scruffy , dopey old hanna-barbera charm . 	0
train-15605	invulnerable as its trademark villain 	1
train-15927	my big fat greek wedding '' comes from the heart 	1
train-15929	although olivier assayas ' elegantly appointed period drama seems , at times , padded with incident in the way of a too-conscientious adaptation ... its three-hour running time plays closer to two . 	1
train-15956	is often preachy and 	0
train-16272	from reporting on the number of tumbleweeds blowing through the empty theaters 	0
train-16367	wastes an exceptionally good idea 	0
train-16403	are scenes of cinematic perfection that steal your heart away 	1
train-16434	jackass lacks aspirations of social upheaval . 	0
train-16689	to be seen as hip , winking social commentary 	1
train-16708	good-natured fun 	1
train-16888	long gone bottom-of-the-bill fare 	0
train-17009	of establishing a time and place , and of telling a fascinating character 's story 	1
train-17062	benefit enormously from the cockettes ' camera craziness -- not only did they film performances 	1
train-17467	of earnest textbook psychologizing 	1
train-17629	where it plainly has no business going 	0
train-17723	did n't care 	0
train-17780	is not easily forgotten 	1
train-18029	great performance 	1
train-18203	best sports movie 	1
train-18453	unwary viewers 	0
train-18692	an ugly , revolting movie 	0
train-18898	average bond 	0
train-18953	riveting documentary . 	1
train-19917	a picture that was n't all that great to begin with 	0
train-19973	a true cinematic knack 	1
train-19980	a whip-smart sense of narrative bluffs 	1
train-20020	a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half 	0
train-20128	soul-searching garbage . 	0
train-20231	a memorable directorial debut from king hunk 	1
train-20281	be distinguished from a mediocre one 	1
train-20370	these people are really going to love the piano teacher . 	1
train-20541	nevertheless efficiently 	1
train-20569	grips and holds you in rapt attention from 	1
train-20630	shot largely in small rooms , the film has a gentle , unforced intimacy that never becomes claustrophobic . 	1
train-20678	string together enough charming moments to work 	1
train-20850	as i 'm the one that i want 	1
train-20884	poignant lyricism 	1
train-21103	is and always has been remarkable about clung-to traditions 	1
train-21163	almost mystical work 	1
train-21391	danis 	1
train-21602	too long and unfocused 	0
train-22000	america , history 	1
train-22202	delivering a series of abrasive , stylized sequences that burn themselves upon the viewer 's memory 	1
train-22482	a sobering and powerful documentary 	1
train-22731	a film neither bitter nor sweet , neither romantic nor comedic , neither warm nor fuzzy 	0
train-22750	so believable that you feel what they feel 	1
train-22752	a road-trip drama 	0
train-23181	the off-center humor is a constant , and the ensemble gives it a buoyant delivery 	1
train-23317	how good 	1
train-23919	did n't mean much to me 	0
train-24103	it 's rare that a movie can be as intelligent as this one is in every regard except its storyline 	0
train-24323	real women have curves truly is life affirming 	1
train-24614	way too full 	0
train-25011	it at least calls attention to a problem hollywood too long has ignored 	1
train-25036	a strong-minded viewpoint , or 	1
train-25179	donovan ... squanders his main asset , jackie chan , 	0
train-25251	bad the film 's story does not live up to its style 	0
train-25297	directed action sequences and some of the worst dialogue 	0
train-25312	a jerry bruckheimer flick any day of the week 	1
train-25316	comparatively sane and healthy 	1
train-25349	is not 	0
train-25371	gentle , endearing 	1
train-25481	no point of view , no contemporary interpretation of joan 's prefeminist plight 	0
train-25560	sand , who brings to the role her pale , dark beauty and characteristic warmth 	1
train-25653	epics 	1
train-25848	can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) 	0
train-26003	fierce grace 	1
train-26183	forget its absurdity 	0
train-26806	may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence 	0
train-26924	lumpen 	0
train-27193	cheapo 	0
train-29159	red dragon rates as an exceptional thriller . 	1
train-29277	( f ) rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels . 	1
train-29311	acted offbeat thriller 	1
train-29355	the film ( at 80 minutes ) is actually quite entertaining . 	1
train-29439	disposable story 	0
train-29515	the smug self-satisfaction usually associated with the better private schools 	0
train-29732	a poster movie , a mediocre tribute to films like them 	0
train-29885	i just saw this movie ... well , it 's probably not accurate to call it a movie . 	0
train-30480	richly entertaining and suggestive of any number of metaphorical readings 	1
train-30543	he wants you to feel something 	1
train-30567	brilliant and 	1
train-30699	balances both traditional or modern stories together in a manner that one never overwhelms the other 	1
train-30774	it 's a dark , gritty story but 	1
train-31172	feeling guilty 	0
train-31185	an ultra-loud blast of pointless mayhem 	0
train-31264	as appalling as any ` comedy ' 	0
train-31308	moore provides an invaluable service by sparking debate and encouraging thought . 	1
train-31406	its punchy style promises 	1
train-31702	that only self-aware neurotics engage in 	0
train-31948	at cheapening it 	0
train-32414	story which fails to rise above its disgusting source material 	0
train-32655	cult favorite 	1
train-32746	it 's hardly watchable 	0
train-33064	whether or not ram dass proves as clear and reliable an authority on that as he was about inner consciousness , fierce grace reassures us that he will once again be an honest and loving one . 	1
train-33248	dizzy 	0
train-33344	, jackass lacks aspirations of social upheaval . 	0
train-33372	an intelligent person is n't necessarily an admirable storyteller . 	0
train-33480	works as pretty contagious fun 	1
train-33714	mostly undeterminable 	0
train-33794	wonderful but 	1
train-34027	does n't reach them 	0
train-34070	once again ego does n't always go hand in hand with talent 	0
train-34162	shoot 	0
train-34411	in a way that 's too loud , too goofy and too short of an attention span 	0
train-34445	plaintiveness 	0
train-34952	one of the most incoherent 	1
train-35044	brilliantly written and 	1
train-35262	susan sarandon , dustin hoffman and holly hunter , yet newcomer ellen pompeo pulls off the feat with aplomb 	1
train-35786	to activate girlish tear ducts does n't mean it 's good enough for our girls 	0
train-35817	insufferably tedious and turgid 	0
train-35947	was at least funny 	1
train-36067	invincible 	1
train-36093	important film 	1
train-36232	joyous films that leaps over national boundaries and celebrates universal human nature 	1
train-36337	and it 's harder still to believe that anyone in his right mind would want to see the it . 	0
train-36784	this overproduced piece of dreck 	0
train-37073	it looks as though jay roach directed the film from the back of a taxicab 	0
train-37169	depress you 	0
train-37774	wear thin with repetition 	0
train-37784	surprisingly sensitive 	1
train-37896	merely crassly flamboyant 	0
train-37904	a stirring tribute 	1
train-38128	filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders 	1
train-38341	by the intentionally low standards of frat-boy humor 	0
train-38360	a dull , somnambulant exercise in pretension whose pervasive quiet 	0
train-38426	kouyate elicits strong performances from his cast 	1
train-38438	of one of the best films 	1
train-38693	with an idea buried somewhere inside its fabric , but never clearly seen or felt 	0
train-38721	the movie is well crafted , and well executed . 	1
train-38729	the crap continues . 	0
train-38841	does so without compromising that complexity . 	1
train-39072	toss logic and science into what is essentially a `` dungeons and dragons '' fantasy with modern military weaponry 	0
train-39172	that it 's a rock-solid little genre picture 	1
train-39316	sink it 	0
train-39464	to be fondly remembered in the endlessly challenging maze of moviegoing 	1
train-39599	enormously entertaining 	1
train-39700	his dependence on slapstick 	0
train-39888	true impact 	1
train-39890	unnerving suspense 	1
train-40230	a bloated plot that stretches the running time about 10 minutes 	0
train-40251	the worst possibilities 	0
train-40673	sending the audience straight to hell 	0
train-40817	unique director 's 	1
train-40860	fails to overcome the film 's manipulative sentimentality and annoying stereotypes 	0
train-40863	sits in the place where a masterpiece should be . 	1
train-41066	is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending 	0
train-41163	equally distasteful 	0
train-41450	is really closer to porn than a serious critique of what 's wrong with this increasingly pervasive aspect of gay culture . 	0
train-41648	honest , and enjoyable 	1
train-41691	it recycles every cliché about gays in what is essentially an extended soap opera . 	0
train-41844	flails 	0
train-41930	splashy and entertainingly nasty 	1
train-42227	here his sense of story and his juvenile camera movements smack of a film school undergrad , and 	0
train-42327	the film occasionally tries the viewer 's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its moving story . 	1
train-42436	a dash of the avant-garde fused with their humor 	1
train-42793	that on the cinematic front , look no further than this 20th anniversary edition of the film that spielberg calls 	1
train-42894	does n't overcome the tumult of maudlin tragedy 	0
train-42956	overly familiar 	0
train-43008	the nifty premise 	1
train-43226	more simply intrusive 	0
train-43232	rarely does a film so graceless and devoid of merit as this one come along . 	0
train-43616	a compassionate , moving portrait of an american ( and an america ) always reaching for something just outside his grasp 	1
train-44007	a standout performance 	1
train-44054	the places , and the people , 	1
train-44282	a skillful fisher 	1
train-44346	utter cuteness 	1
train-44370	to see another car chase , explosion or gunfight again 	0
train-44372	life-embracing spirit 	1
train-44439	clients 	1
train-44467	vibrant , colorful world 	1
train-44505	, it still comes off as a touching , transcendent love story . 	1
train-44569	, repetitive and ragged 	0
train-44580	a moratorium 	0
train-45194	feel like three hours 	0
train-45314	respect and affection 	1
train-45349	the payoff 	1
train-45468	very insecure 	0
train-45630	transcends their predicament 	1
train-45800	suffocate 	0
train-45938	a four star performance from kevin kline who unfortunately works with a two star script . 	1
train-46079	it 's nowhere near as good as the original . 	0
train-46390	( a ) strong piece of work 	1
train-46436	are left with a handful of disparate funny moments of no real consequence . 	0
train-46743	it 's definitely a step in the right direction . 	1
train-46926	some unnecessary parts 	0
train-47255	4ever has the same sledgehammer appeal as pokemon videos , but 	1
train-47529	an incredibly irritating comedy 	0
train-47670	it is ok for a movie to be something of a sitcom apparatus , if the lines work , the humor has point and the actors are humanly engaged 	1
train-47741	schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close . 	1
train-48217	to the tiniest segment of an already obscure demographic 	0
train-48374	is , however , 	1
train-48402	suffers a severe case of oversimplification , superficiality and silliness . 	0
train-48672	smarter and subtler 	1
train-48767	perceptive , good-natured 	1
train-48823	stuffs his debut with more plot than it can comfortably hold 	0
train-48864	it 's a smart , funny look at an arcane area of popular culture 	1
train-49139	a lot like a well-made pb & j sandwich : familiar , fairly uneventful and boasting no real surprises -- but still quite tasty and inviting all the same 	1
train-49546	keeps the energy humming 	1
train-49570	a crescendo 	1
train-49822	who comes across as both shallow and dim-witted 	0
train-50301	be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture 	1
train-50423	consistently sensitive and often exciting treatment 	1
train-50512	loneliness can make people act weird 	0
train-50566	tight 	1
train-50664	is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell . 	1
train-50927	that memorable , 	1
train-50971	whose sharp intellect 	1
train-51064	and no one ) 	1
train-51240	has all the wiggling energy of young kitten 	1
train-51366	what is and always has been remarkable about clung-to traditions 	1
train-51914	for us 	1
train-51938	it 's an utterly static picture 	0
train-52192	his most personal work yet . 	1
train-53151	cagney 's ` top of the world ' has been replaced by the bottom of the barrel 	0
train-53200	alternately fascinating and frustrating documentary 	1
train-53401	of the clients 	1
train-53412	wonderfully creepy mood 	1
train-53431	silly stuff , all mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another . 	0
train-53640	a happy , heady jumble of thought and storytelling , 	1
train-53687	liked 	1
train-53882	stanley kwan has directed not only one of the best gay love stories ever made , but 	1
train-54174	makes me say the obvious : abandon all hope of a good movie ye who enter here 	0
train-54266	exploitation 	0
train-54326	's all about anakin ... and the lustrous polished visuals rich in color and creativity and , of course , special effect 	1
train-54503	impacts 	1
train-54595	is a winning comedy that excites the imagination and tickles the funny bone . 	1
train-54744	the clumsy cliché 	0
train-54842	enjoyable ... 	1
train-54921	an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors 	0
train-55073	squeeze the action and our emotions into the all-too-familiar dramatic arc of the holocaust escape story 	0
train-55233	amused and entertained by the unfolding of bielinsky 's cleverly constructed scenario 	1
train-55289	underdeveloped effort 	0
train-55513	that finds warmth in the coldest environment and makes each crumb of emotional comfort 	1
train-55515	their most virtuous limits 	1
train-55617	'd be hard pressed to think of a film more cloyingly sappy than evelyn this year . 	0
train-55743	allegedly inspiring and easily marketable 	1
train-55776	witlessness between a not-so-bright mother and daughter and 	0
train-55881	avoid this like the dreaded king brown snake 	0
train-55952	tres greek writer and star nia vardalos has crafted here a worldly-wise and very funny script . 	1
train-56208	nice piece of work . 	1
train-56355	spontaneous 	1
train-56546	such a perfect medium for children 	1
train-56595	in suspense , surprise and consistent emotional conviction 	1
train-56726	frequently misses the mark 	0
train-56727	congrats disney on a job well done , i enjoyed it just as much ! 	1
train-56930	that 's not the least bit romantic and only mildly funny 	0
train-56939	excuse to eat popcorn 	0
train-56962	- hour , dissipated length . 	0
train-57146	the fluid motion is astounding on any number of levels -- including the physical demands made on büttner -- and it implies in its wake the intractable , irreversible flow of history 	1
train-57182	enormously good 	1
train-57306	deliciously 	1
train-57400	not a film for the faint of heart or conservative of spirit , but for the rest of us -- especially san francisco lovers -- it 's a spirited film and a must-see 	1
train-57460	as well its delightful cast 	1
train-57523	once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea is n't funny . 	0
train-57829	this '60s caper film is a riveting , brisk delight . 	1
train-58163	a staggeringly compelling character , 	1
train-58269	saving grace 	1
train-58510	lacks any real raw emotion , which is fatal for a film that relies on personal relationships 	0
train-58540	no other purpose 	0
train-58728	more quick-witted than any english lit 	1
train-58813	any shoddy product 	0
train-58899	shining with all the usual spielberg flair , expertly 	1
train-59086	cynicism every bit 	0
train-59140	gussied up with so many distracting special effects and visual party tricks that it 's not clear whether we 're supposed to shriek 	0
train-59222	the ensemble cast is engaging enough to keep you from shifting in your chair too often 	1
train-59481	heartfelt and achingly real 	1
train-59503	thanks largely to williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film . 	0
train-59541	every moment crackles with tension , 	1
train-59945	a knockout of a closing line 	1
train-59967	's so fascinating you wo n't be able to look away for a second . 	1
train-60026	despite iwai 's vaunted empathy 	0
train-60178	the film works 	1
train-60406	has really done his subject justice . 	1
train-60780	of janice beard ( eileen walsh ) when her real-life persona is so charmless and vacant 	0
train-60832	rifkin 's references are ... impeccable throughout . 	1
train-60987	gets vivid , convincing performances from a fine cast , and generally keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of french new wave films . 	1
train-61074	a bit too eager to please . 	0
train-61157	that 's good 	1
train-61272	remarkably accessible and haunting film 	1
train-61329	holds promise 	1
train-61481	a rip-off twice removed , modeled after ( seagal 's ) earlier copycat under siege 	0
train-61508	a special kind 	1
train-62457	how bad his movie is 	0
train-62875	the new insomnia 	1
train-63084	mild disturbance or detached pleasure 	0
train-63254	is to see two academy award winning actresses ( and one academy award winning actor ) succumb to appearing in this junk that 's tv sitcom material at best 	0
train-63451	is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success 	1
train-63468	moving and stark reminder 	1
train-63595	and it is n't that funny . 	0
train-63613	fashion a brazil-like , hyper-real satire 	1
train-63974	should come with the warning `` for serious film buffs only 	0
train-64279	is forgettable 	0
train-64404	speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand 	1
train-64593	is almost completely lacking in suspense , surprise and consistent emotional conviction . 	0
train-64713	our infantilized culture that is n't entirely infantile 	0
train-64984	is a clear case of preaching to the converted 	0
train-65033	grows as dull as its characters , about whose fate it is hard to care 	0
train-65061	most plain , unimaginative 	0
train-65108	a film of quiet power . 	1
train-65245	helps little 	0
train-65753	, fat , dumb 	0
train-66211	, painful improbability 	0
train-66273	scoob and shag do n't eat enough during the film . ' 	0
train-66335	as exciting to watch as two last-place basketball teams 	0
train-66639	saw that was written down 	0
train-66700	eye-catching art direction 	1
train-66718	as david letterman and the onion have proven , the worst of tragedies can be fertile sources of humor , but lawrence has only a fleeting grasp of how to develop them . 	0
train-67041	take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche 	0
train-67178	found in almost all of his previous works 	1
train-67236	bump in the night and nobody 	0
train-67267	of gags that rely on the strength of their own cleverness 	1
